0.378 0.008 {'n_estimators': 25, 'max_depth': 26}
0.390 0.016 {'n_estimators': 30, 'max_depth': 26}
0.382 0.013 {'n_estimators': 35, 'max_depth': 26}
0.390 0.007 {'n_estimators': 40, 'max_depth': 26}
0.387 0.010 {'n_estimators': 45, 'max_depth': 26}
0.351 0.015 {'n_estimators': 10, 'max_depth': 27}
0.369 0.011 {'n_estimators': 15, 'max_depth': 27}
0.374 0.008 {'n_estimators': 20, 'max_depth': 27}
0.387 0.010 {'n_estimators': 25, 'max_depth': 27}
0.385 0.005 {'n_estimators': 30, 'max_depth': 27}
0.383 0.006 {'n_estimators': 35, 'max_depth': 27}
0.385 0.013 {'n_estimators': 40, 'max_depth': 27}
0.390 0.013 {'n_estimators': 45, 'max_depth': 27}
0.350 0.006 {'n_estimators': 10, 'max_depth': 28}
0.377 0.015 {'n_estimators': 15, 'max_depth': 28}
0.381 0.010 {'n_estimators': 20, 'max_depth': 28}
0.379 0.007 {'n_estimators': 25, 'max_depth': 28}
0.386 0.007 {'n_estimators': 30, 'max_depth': 28}
0.391 0.010 {'n_estimators': 35, 'max_depth': 28}
0.393 0.005 {'n_estimators': 40, 'max_depth': 28}
0.398 0.008 {'n_estimators': 45, 'max_depth': 28}
0.374 0.007 {'n_estimators': 10, 'max_depth': 29}
0.370 0.005 {'n_estimators': 15, 'max_depth': 29}
0.373 0.007 {'n_estimators': 20, 'max_depth': 29}
0.380 0.005 {'n_estimators': 25, 'max_depth': 29}
0.387 0.009 {'n_estimators': 30, 'max_depth': 29}
0.389 0.008 {'n_estimators': 35, 'max_depth': 29}
0.395 0.009 {'n_estimators': 40, 'max_depth': 29}
0.395 0.009 {'n_estimators': 45, 'max_depth': 29}
0.358 0.012 {'n_estimators': 10, 'max_depth': 30}
0.378 0.008 {'n_estimators': 15, 'max_depth': 30}
0.377 0.010 {'n_estimators': 20, 'max_depth': 30}
0.386 0.005 {'n_estimators': 25, 'max_depth': 30}
0.393 0.011 {'n_estimators': 30, 'max_depth': 30}
0.393 0.005 {'n_estimators': 35, 'max_depth': 30}
0.393 0.012 {'n_estimators': 40, 'max_depth': 30}
0.398 0.009 {'n_estimators': 45, 'max_depth': 30}
0.359 0.007 {'n_estimators': 10, 'max_depth': 31}
0.373 0.008 {'n_estimators': 15, 'max_depth': 31}
0.384 0.006 {'n_estimators': 20, 'max_depth': 31}
0.386 0.008 {'n_estimators': 25, 'max_depth': 31}
0.386 0.006 {'n_estimators': 30, 'max_depth': 31}
0.397 0.009 {'n_estimators': 35, 'max_depth': 31}
0.397 0.012 {'n_estimators': 40, 'max_depth': 31}
0.396 0.012 {'n_estimators': 45, 'max_depth': 31}
0.367 0.016 {'n_estimators': 10, 'max_depth': 32}
0.370 0.005 {'n_estimators': 15, 'max_depth': 32}
0.384 0.014 {'n_estimators': 20, 'max_depth': 32}
0.391 0.012 {'n_estimators': 25, 'max_depth': 32}
0.394 0.008 {'n_estimators': 30, 'max_depth': 32}
0.396 0.009 {'n_estimators': 35, 'max_depth': 32}
0.393 0.009 {'n_estimators': 40, 'max_depth': 32}
0.397 0.008 {'n_estimators': 45, 'max_depth': 32}
0.362 0.012 {'n_estimators': 10, 'max_depth': 33}
0.379 0.013 {'n_estimators': 15, 'max_depth': 33}
0.385 0.010 {'n_estimators': 20, 'max_depth': 33}
0.398 0.010 {'n_estimators': 25, 'max_depth': 33}
0.395 0.012 {'n_estimators': 30, 'max_depth': 33}
0.390 0.010 {'n_estimators': 35, 'max_depth': 33}
0.398 0.006 {'n_estimators': 40, 'max_depth': 33}
0.402 0.009 {'n_estimators': 45, 'max_depth': 33}
0.374 0.007 {'n_estimators': 10, 'max_depth': 34}
0.377 0.013 {'n_estimators': 15, 'max_depth': 34}
0.385 0.010 {'n_estimators': 20, 'max_depth': 34}
0.394 0.007 {'n_estimators': 25, 'max_depth': 34}
0.395 0.005 {'n_estimators': 30, 'max_depth': 34}
0.397 0.013 {'n_estimators': 35, 'max_depth': 34}
0.400 0.008 {'n_estimators': 40, 'max_depth': 34}
0.398 0.005 {'n_estimators': 45, 'max_depth': 34}
0.367 0.016 {'n_estimators': 10, 'max_depth': 35}
0.381 0.008 {'n_estimators': 15, 'max_depth': 35}
0.385 0.010 {'n_estimators': 20, 'max_depth': 35}
0.393 0.008 {'n_estimators': 25, 'max_depth': 35}
0.393 0.011 {'n_estimators': 30, 'max_depth': 35}
0.397 0.009 {'n_estimators': 35, 'max_depth': 35}
0.399 0.011 {'n_estimators': 40, 'max_depth': 35}
0.406 0.009 {'n_estimators': 45, 'max_depth': 35}
0.368 0.013 {'n_estimators': 10, 'max_depth': 36}
0.387 0.003 {'n_estimators': 15, 'max_depth': 36}
0.393 0.011 {'n_estimators': 20, 'max_depth': 36}
0.394 0.012 {'n_estimators': 25, 'max_depth': 36}
0.393 0.008 {'n_estimators': 30, 'max_depth': 36}
0.396 0.006 {'n_estimators': 35, 'max_depth': 36}
0.403 0.009 {'n_estimators': 40, 'max_depth': 36}
0.405 0.005 {'n_estimators': 45, 'max_depth': 36}
0.380 0.016 {'n_estimators': 10, 'max_depth': 37}
0.381 0.007 {'n_estimators': 15, 'max_depth': 37}
0.391 0.008 {'n_estimators': 20, 'max_depth': 37}
0.400 0.009 {'n_estimators': 25, 'max_depth': 37}
0.405 0.010 {'n_estimators': 30, 'max_depth': 37}
0.402 0.007 {'n_estimators': 35, 'max_depth': 37}
0.402 0.010 {'n_estimators': 40, 'max_depth': 37}
0.404 0.005 {'n_estimators': 45, 'max_depth': 37}
0.373 0.009 {'n_estimators': 10, 'max_depth': 38}
0.384 0.011 {'n_estimators': 15, 'max_depth': 38}
0.395 0.006 {'n_estimators': 20, 'max_depth': 38}
0.393 0.005 {'n_estimators': 25, 'max_depth': 38}
0.405 0.008 {'n_estimators': 30, 'max_depth': 38}
0.398 0.005 {'n_estimators': 35, 'max_depth': 38}
0.409 0.007 {'n_estimators': 40, 'max_depth': 38}
0.400 0.009 {'n_estimators': 45, 'max_depth': 38}
0.378 0.013 {'n_estimators': 10, 'max_depth': 39}
0.387 0.009 {'n_estimators': 15, 'max_depth': 39}
0.395 0.007 {'n_estimators': 20, 'max_depth': 39}
0.401 0.013 {'n_estimators': 25, 'max_depth': 39}
0.402 0.012 {'n_estimators': 30, 'max_depth': 39}
0.405 0.004 {'n_estimators': 35, 'max_depth': 39}
0.402 0.008 {'n_estimators': 40, 'max_depth': 39}
0.410 0.006 {'n_estimators': 45, 'max_depth': 39}
0.369 0.012 {'n_estimators': 10, 'max_depth': 40}
0.384 0.007 {'n_estimators': 15, 'max_depth': 40}
0.394 0.010 {'n_estimators': 20, 'max_depth': 40}
0.396 0.008 {'n_estimators': 25, 'max_depth': 40}
0.400 0.008 {'n_estimators': 30, 'max_depth': 40}
0.405 0.011 {'n_estimators': 35, 'max_depth': 40}
0.409 0.004 {'n_estimators': 40, 'max_depth': 40}
0.408 0.008 {'n_estimators': 45, 'max_depth': 40}
0.372 0.007 {'n_estimators': 10, 'max_depth': 41}
0.382 0.010 {'n_estimators': 15, 'max_depth': 41}
0.395 0.010 {'n_estimators': 20, 'max_depth': 41}
0.397 0.008 {'n_estimators': 25, 'max_depth': 41}
0.402 0.007 {'n_estimators': 30, 'max_depth': 41}
0.405 0.006 {'n_estimators': 35, 'max_depth': 41}
0.406 0.013 {'n_estimators': 40, 'max_depth': 41}
0.405 0.006 {'n_estimators': 45, 'max_depth': 41}
0.374 0.007 {'n_estimators': 10, 'max_depth': 42}
0.383 0.010 {'n_estimators': 15, 'max_depth': 42}
0.399 0.009 {'n_estimators': 20, 'max_depth': 42}
0.399 0.005 {'n_estimators': 25, 'max_depth': 42}
0.405 0.009 {'n_estimators': 30, 'max_depth': 42}
0.408 0.010 {'n_estimators': 35, 'max_depth': 42}
0.410 0.010 {'n_estimators': 40, 'max_depth': 42}
0.407 0.009 {'n_estimators': 45, 'max_depth': 42}
0.381 0.008 {'n_estimators': 10, 'max_depth': 43}
0.391 0.004 {'n_estimators': 15, 'max_depth': 43}
0.396 0.004 {'n_estimators': 20, 'max_depth': 43}
0.401 0.005 {'n_estimators': 25, 'max_depth': 43}
0.404 0.008 {'n_estimators': 30, 'max_depth': 43}
0.410 0.007 {'n_estimators': 35, 'max_depth': 43}
0.410 0.010 {'n_estimators': 40, 'max_depth': 43}
0.407 0.010 {'n_estimators': 45, 'max_depth': 43}
0.376 0.007 {'n_estimators': 10, 'max_depth': 44}
0.391 0.002 {'n_estimators': 15, 'max_depth': 44}
0.396 0.010 {'n_estimators': 20, 'max_depth': 44}
0.402 0.007 {'n_estimators': 25, 'max_depth': 44}
0.406 0.006 {'n_estimators': 30, 'max_depth': 44}
0.406 0.008 {'n_estimators': 35, 'max_depth': 44}
0.409 0.007 {'n_estimators': 40, 'max_depth': 44}
0.414 0.010 {'n_estimators': 45, 'max_depth': 44}
0.377 0.008 {'n_estimators': 10, 'max_depth': 45}
